Unmatched Ingredient,Role,Mention Count,Product Count,Classification,Best Candidate Canonical Ingredient,Candidate Score,Mapping Basis,Confidence,Reason,Recommended Next Step
Kerala Lime,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Kewda,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Leontopodium Alpinum Callus Culture Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Linalyl Acetate,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Linoleamidopropyl Pg Dimonium Chloride Phosphate,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Maris Aqua,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Melanin,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Melissa Officinalis Leaf Extract,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Methyl Dihydroabietate,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Milk -3.60%,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Nonapeptide-1,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Octenidine Hcl,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Octyl Stearate,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Oleaeuropaea,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Palmitamidopropyltrimonium Chloride,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Palmitoyl Grapevine Shoot Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Perseagratissima,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Potassium Myristate,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Propanediol Squalane,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Pueraria Lobata Root Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Pvm/ma Copolymer,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sanicula Europaea Extract,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Santalum Album - 0.80%,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Sodium Acrylates Copolymer,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sodium Cocoyl Amino Acids,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sodium Gluconate And Sodium Hyaluronate,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sodium Phosphate,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Sphingomonas Ferment Extract,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Thyme Leaf Extract,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Unique Bio-energy Complex™,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Visible Pure 24K Gold,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Vit B5,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Vitis Vinifera - 7.5%,Primary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
White Soft Paraffin,Primary + Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Zinc Pyrrolidone Carboxylic Acid,Secondary,2,2,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
"""water",Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
"1, 000 Ppb",Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
2% Claire Blanch II,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
2-Hexanediol (emolient),Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
24K Bio-gold Flakes,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
3% NMF Complex,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
4-N-Br,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
4-T-Butylcyclohexanol,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
4-t-Butylcyclohexanol,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Acetyl Cedrene,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Acnacidol BG,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Acrylamide Sodium Acrylate Copolymer,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Aczero,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Adds Glow,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Aegle Marmelos -1.00%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Agar Agar,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Aligning With Vaseline's Heritage Of Inclusive,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Allium Cepa Bulb Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Althaea Officinalis Root Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Alum?nio Starch Octenylsuccinate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Alumina,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Aluminium Hydroxide,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Aluminum Stearates,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ammonium Polyacryloyldimethyl Taurate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Anthemis Nobilis Flower Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Anti-leukine 6,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Antibacterial,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Antioxidants,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Aquaphilus Dolomiae Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Aquilaria Agallocha -1.0%,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Aquilariaagallocha - 1.0%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Arctium Lappa Root Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ascorbic Acid. 30ml,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Bacopa Monnieri Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Behenyl Behenate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Bio-energy Complex Technology,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Bis Copper Acetate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Bis- Ethylhexyloxyphenol Methoxyphenyl Triazine,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Bismuth Oxychloride,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Black Orchid,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Blue 1 (CI_COLOUR). B01865,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Blue Lotus,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Boron Nitride,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
C Pareth-12,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
CI_COLOUR (yellow 5),Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Calcium Citrate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Caprooyl Tetrapeptide-3,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Carbonate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Carboxymethyl Cellulose,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Centaurea Cyanus Flower Extract,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Centaurea Cyanus Flower Water,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ceramide 11,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Cetomacrogol 1000,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Cocamidopropyl Pg-dimonium Chloride,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Coceth-7,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Cocos Nucifera,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Common Purslane Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Copper Lysinate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Copper Sulfate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Cutibiome,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Cydonia Oblonga Leaf Extract,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
D.m.water,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Decapeptide-4,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Deep Hydration,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Deeply Moisturizes,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Denatonium Benzoate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Dibutyl Lauroyl Glutamide,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Diethylhexyl Sodium Sulfosuccinate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Diethylhexyl Succinate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Diethylhexyl Syringylidenemalonate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Diisopropylsebacate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Dilinoleate Copolymer,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Disiloxane,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Dry Skin Polyphenols,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Dícaprylylether,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Eladi Tailam - 5.0%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Elaeis Guineensis Oil,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Emollient,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Energy,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Epigallocatechin Gallate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Ergothioneine,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Erythritol,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ethyl Hexanediol,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ethylcellulose,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Euphorbia Cerifera Wax,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Eusolex Uv-pearl OB-S,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Farnesyl Acetate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Fermented Bamboo Shoot Bark Extract,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Found In Ghee,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Fructose,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Full Ingredients List: Aqua,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ghk-cu,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Glyceryl Behenate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Gold,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Guaiazulene,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Haldi Beads,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Haritaki Fruitextract - 2.0%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Helianthus Annuus Seed Wax,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Herbal Emollients,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Homopolymer,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hordeum Vulgare -1.00%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydrating,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydrogenated Coconut Acid,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydrolyzed Glycosaminoglycans,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydroxymethoxyphenyl Decanone,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydroxypropyl Cellulose,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Hydroxypropyl Cyclodextrin,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Ichthammol,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Innovative,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Inula Helenium Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Isobutane,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Isocetyl Stearate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Jasmine Flower Water,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Kapurkachri,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Keeping It Hydrated And Soft,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
L Petroleum Resins,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Lauramide Dea,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Lauryl Laurate,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Light Liquid Paraffin,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Lime,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Lime Pearl,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Linoleamidopropyl PG Dimonium Chloride Phosphate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Linum Usitatissimum Seed Oil,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Litsea Cubeba Fruit Oil,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Magnesium Stearate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
Marsh Mallow Leaf,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Mel/honey,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Melia Azadirachta Leaf Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Menthyl PCA,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Mesua Ferrea - 1.0%,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Methyl Methacrylate Crosspolymer,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Methyl Trimethicone,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Methylheptyl Isostearate,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Myrciaria Dubia Fruit Extract,Secondary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,"No comparable ingredient exists in the 1,734-name vocabulary.",NO_ACTION
Myristyl Glucoside,Primary,1,1,NO_CANDIDATE,,,No reliable equivalence,HIGH,Nearest name is only superficially similar; no genuine candidate exists.,NO_ACTION
